id,answer
0021dd37ed4e,20
0022a32a03ec,32
004f69ee332e,1201
006ba2f12268,260
0121d5fcd693,539
015d6d3dfdb8,10
020cc9fde44f,70
0275626313c6,78
02861dd1727e,50
02ce63398fc0,310
02f88d9dc72b,4
0332cf7335e2,14
0364bf5a26ba,11
037b96d1d1ce,210
039ab5ba5785,8
039b80f727f8,2
03fe65cf75a0,36
04035200f8d4,16
0411677942a4,16
043611204f62,83
04880848c9c7,22
04cf99a2b4f0,13
04d0723b403d,143
04df6bad8852,118000
04ee06b5b674,71
04f3d918dbac,38
052d09443246,1
053af2a2515c,1199
05b75ae3b577,17
05bc25dbed7b,110
05c361337741,155
05e6a3f2d91c,280
061271cb0fca,23
0641ac902a72,20
065e98aa7b6b,41
0661b7d4c391,3200
06983a72c991,114201
0744d3ae777c,12
075eb9f33ee4,391
076400b95c48,8
0783bf04d401,33
07f685a82ebb,4
08107e554377,6
082a5d11fa26,90
085d29973a16,46
099147477f21,3
0993d299d92f,50
0a3febe4a9ad,39
0a96b0e9b9a4,4
0a97f5703f70,9
0b1fb499f783,500
0b8fbfd5e547,24
0cae8735790e,25
0ce132c3067c,120
0d51e4285d0e,250
0d67c6ddffb6,27
0d6e2cf1d55b,120
0db70c69bd3d,17
0dbe616aefb8,6
0df343aefbed,5
0df83fbc9d4c,200
0e497c6fbebe,80
0e7081b46ed3,76
0eadb4fd2f18,26
0f243eae3512,3
0f2d4efee90e,5
0f47af683bca,15
0f539eb208aa,15
0f7ad7ea9c8a,48
0f8c848055a8,24
0f98c7c377ee,570
0fa2e1d78edf,16
0fa52dd891ba,17
0fac674b71bd,69
0fb07b934b24,17
0feb0dc28e74,6
0ff223325116,32
105f5b444bf3,60000
10986fc8112b,20
10a925f0daf9,2
10b821015ad1,296
10bac0c69a96,12
10f1d701efdf,6
1144ae926828,21
11514dcfa585,196
1176ca2f20ec,41
119c41e1f3d6,3000
119ee5d23be3,16
11fd79c37a87,84
128e2d49b50e,12
1291b39f57e8,5
12ca961544b2,7
12fdaa113dfa,100
133394b26ce4,5
1350e37bc5f2,61
13559de1bafb,321
13708cec823d,5
1378a7f5e75b,23
13984663fa34,18
14021e315e68,16
140de7ec883b,16
1459310e2267,6
1529f3cb77b6,11
156318be8fd4,4000
15860ad86c0f,6
15bebe2a9174,45
15d812e009b4,9
15db534dec2a,31
15f416ea91be,75
16a4a7578ee4,21
16af6e4d3398,30
16d226a12155,651
16da8ab4c916,15
16dbbf76f550,14
171cc0ff7ed6,205
1726dc5a3f39,16
1790d54b804d,189
1798c1896d52,21
17c3c11a28aa,7500
17e084280d4d,50
17e3e2797b05,8
18100d9866cb,75
182cd1612e3e,826
185da5495bad,12
18be37494018,15
192169904ee9,51
193db6f32805,30
1963142a0fdf,19
19a7a637ac5f,7001
19cc6aae8901,5
19f9005b4954,2325
1a8dcb21fb20,6
1a9b957d1823,64
1aae4bcfec01,276
1b1e97999788,10
1b347bcf3360,121
1b6a472ca60c,14
1b7b37c111ea,280
1b97a6054999,525
1bb03bb20783,50
1bbbecf0361c,94
1beef5e10204,4
1c85771cef5c,6
1c9523d412df,14
1cecbeadea0b,240
1d18a0072eed,398
1d7d061f7798,241
1db155d79430,1
1e1ffe989876,156
1e25372955d7,15
1e5d19abe954,5
1eaf93274ad3,5
1ec8f4b26db8,73
1eeb2a105b55,860
1f2e6419eea7,139
1f5c23f33705,14
1f5c633540ef,21
1f786c30b76d,1125
1fb9012b7048,54
1fcf1a808fa4,5
1feda78c9a0b,240
1feef3848f99,111
1ffcfa5bf3d0,7
1ffdc7a2d63d,75
208c62c9e44d,1
20dc972e16c5,91
20de24526529,450
20f884907d7f,20
20feca608c77,80
21578c932877,30
217cc6f34dcc,26
219440c7a407,25
21a2727d80be,12
21e0d34003ca,560
21eb0f2c6360,48
21ff2359b773,15
223942b1d00a,6
226a8ff03552,20000
22736cea01ca,61
2279025ca53d,49
227f9af33830,42
22f9f7ed3448,361
23133924909b,75
231af1e307e2,6
2363b60ab3b1,68
23b326beeef5,34
23d1d81ff0c6,81
241035af5229,7425
246a87f1bc8d,24
252b75884691,10
25969e1126a2,270
25e794bfbf98,5
261b0a957892,10801
2652572051cd,31
269d06be70d6,9
26b0265e4252,16
272b00f0e340,1601
273b847232c8,20
276c8dadcaa7,43
27ddb3880a0e,26
27e7dd77f43e,840
27fd7b25fc9b,161
2816701f598f,248
282295048201,15
282473b591ea,5
283f85215fe7,24
284057a1c547,2001
2853a1e89d29,93
2880f89e4e75,50
2892074129e7,65
290dd830dcb4,35
2917e61d25c5,90
291a9561b04f,15
2922594e1da0,93001
293a9cbadd45,4
2a0395031586,114
2a529a88a672,28
2ab3f89fa8e7,18
2ab42656813d,45
2ad3dd2c764b,59
2ae2632667e9,138
2af22a02f3ae,4
2b18403fc1f4,27
2b23a6270584,301
2b33316d9c80,221
2b665fe3a917,50
2b6817dea93f,576
2b80f0931ce2,21
2b8224e5ff39,58
2c102fc75995,2401
2c87ec228eb6,54
2c8e8361ed2e,57501
2c9779233b1c,9
2cac06d8065d,74
2cae898d31c9,245
2cd135759d15,3
2cea416ecb01,51
2d0b10bf115d,16
2d4eecaa3131,55
2d6f07472ca1,16
2d861a1b42ec,24
2d8cd61d11db,3000
2d929bcc7a8b,70
2da5b4065707,89
2deddee5097c,36
2e10a27bd3f9,19
2e3ed1871ba5,5
2e67d1b6130f,51
2eb878a2da6e,480
2ecf8a4d3bae,3
2f1c06cbe553,110
2f5a04bf9292,750
2f7815559568,31
2fa747fd6dde,656
2fc9030f7010,2
301ed9bf82ce,61
30415fefab4f,17500
30487c71696d,251
304c9b0a215c,95
306664cb7fdf,2601
307e27b63706,45
3086242543d7,320
30b11fda9716,60
30b1f23d7c6e,33
30ca890ef8e8,25
3107427ff9f7,21
313b5a60dd6b,37
315240c98551,520
317892732663,15
317a728eeb4d,120000
3194654f50bf,56
31bf2e70e600,11
31cdc06b744c,60
31d61a9ffd29,272
3286ecf6d3a3,1080
32dab5277419,250
33135dcab6fd,22
339ac77ebffb,56
33e50a1f5f48,15
3406b863c581,226
349ab96d3ff9,2126
3530996df64f,23
35b1ab4a095f,16
35e362d735ec,160
35ea21828058,6
35f708d2fe92,91
35f7a16f5f6f,1240
365afd83ca58,81
36660ee430b3,36
36b19245f1fb,36
36e29efe5ca8,13
36e2cc8c58aa,9
36f177ebe76c,1050
371f2fed99ac,77
374d9e48124d,8
37d222b832c7,4
37d74e6fd68a,55
385367da2261,262500
3864140997db,196
3881d22357a5,4400
388995f66cbd,720
38c5182198e1,71
3914eadd8764,20
395078748517,1301
3956929725cc,307
39762feee77b,5
399abd76071c,5
39a6feefafaf,40
39a8c45d760f,20
39bc72d7cae2,1171
